lp ---	kod	nazwa	grupa	dostawca	iloúÊ	cena netto	cena zakupu	[-OPAKOWANIE]	[-WAGA-JEDNOSTKOWA]	[-WAGA-OPAKOWANIA]	[-INDEKS-DOSTAWCY]	[-PLIK-FOTO]
120	5905669542531	MARYENSZTADT BELGIJKA NA TRZECIM	INNE	MARYENSZTADT	20	5,52	4,30					
121	5905669542159	MARYENSZTADT CZARNOLAS	IPA	MARYENSZTADT	19	6,69	5,20	PodwÛjna ciemna IPA z wyrazistπ goryczkπ wzbogaconπ posmakami kawy i czekolady bÍdπcymi rezultatem uøycia ciemnych s≥odÛw w procesie warzenia. W aromacie znaleüÊ zaú moøna nuty øywiczno-sosnowe wsparte akcentami owocÛw cytrusowych.	7,6 g	18 g	DOUBLE INDIA BLACK ALE	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\CZARNOLAS 1600.jpg__resize__1600.jpg 
122	5905935542210	MARYENSZTADT GET BOCK	INNE	MARYENSZTADT	32	6,17	4,80	Kooperacja Browaru Maryensztadt i Jabeerwocky. Pszenica na d≥ugie, zimowe wieczory. Zaskakujπco lekka w odbiorze, choÊ jak to kozio≥ek moøe kopnπÊ. S≥Ûd monachijski i karmelowy oraz specjalne droødøe da≥y trunek, ktÛry zadowoli nawet wujka Hansa z Monachium.	7,5 g	18 g	Weizenbock	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\GET BOCK 1600.jpg__resize__1200.jpg 
123	5905669542104	MARYENSZTADT JACK STRONG	IPA	MARYENSZTADT	17	6,69	5,20	Imperial IPA to wzmocniona wersja American India Pale Ale. W smaku dominuje wysoka goryczka, ktÛra dobrze wspÛ≥gra z solidnπ podbudowπ s≥odowπ. W aromacie przewaøajπ nuty owocÛw cytrusowych, charakterystyczne dla chmieli Amarillo i Cascade.	7,6 g	18 g	Imperial IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\JACK STRONG 1600.jpg__resize__1600.jpg 
124	5905669542418	MARYENSZTADT LOST BERRY	PORTER	MARYENSZTADT	24	5,78	4,50	Nieklasyczny angielski brown porter, fermentowany w czarnπ jagodπ. Czekoladowo owocowy. W smaku umiarkowanie wytrawny.	5,2 g	13 g	Brown Porter with blue berry	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\Lost Berry 1600.jpg__resize__1200.jpg 
125	5905669542036	MARYENSZTADT PAPA AMERICANO	APA	MARYENSZTADT	8	5,33	4,14	American Pale Ale, piwo o wyraünie chmielowym aromacie. Dominujπ tu rÛwnieø aromaty øywiczne, sosnowe, cytrusowe, owocowe, ktÛre sprawiajπ, øe te pochodzπce od s≥odu sπ prawie niewyczuwalne. W smaku czuÊ delikatnπ s≥odowoúÊ, podkreúlonπ mocnπ, czystπ goryczkπ.	5,2 g	13 g	APA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\PAPA AMERICANO1600.jpg__resize__1600.jpg 
126	5905669542074	MARYENSZTADT POLISH HOP(E)	APA	MARYENSZTADT	7	5,39	4,20	Wariacja na temat polskich chmieli pochodzπcych bezpoúrednio od zaprzyjaünionego z browarem plantatora. W smaku wyczuwalny s≥Ûd i wyraüna chmielowa goryczka. Dodawany na kilku etapach produkcji chmiel, powoduje, øe piwo posiada kwiatowe, ziemiste oraz przyprawowe aromaty. Niewielka iloúÊ s≥odÛw karmelowych dope≥nia piwo, nadajπc mu nieco g≥Íbszej barwy.	5,5 g	13 g	POLISH PALE ALE	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\POLISH HOPE 16001520587185.jpg__resize__1600.jpg 
127	5905669542012	MARYENSZTADT PSZENICZNY BLOND	WHEAT	MARYENSZTADT	20	5,91	4,60	Pszeniczny Blond z rabarbarem i truskawkπ to specjalna wersja naszego klasycznego, niemieckiego piwa pszenicznego. To niepowtarzalna okazja, aby sprÛbowaÊ po≥πczenia wytrawnego piwa, aromatÛw bananowo truskawkowych i cierpko s≥odkiego smaku rabarbaru.	4,8 g	13 g	Weizen z rabarbarem i truskawkπ	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\PSZENICZNY BLOND TRUSKAWKA16001520587128.jpg__resize__1600.jpg 
128	5905669542241	MARYENSZTADT RAISA ESPRESSO	STOUT	MARYENSZTADT	24	7,54	5,90	Solidna dawka alkoholu po≥πczona z czekoladπ pochodzπcπ od s≥odÛw palonych, wzbogacona o przyprawowe nuty belgijskich droødøy i mocne espresso.	9,4 g	22 g	RIS z espresso	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\RAISA ESSPRESSO 1600.jpg__resize__1600.jpg 
129	5905669542050	MARYENSZTADT SWEET SIXTEEN	STOUT	MARYENSZTADT	18	6,04	4,70	Jest to delikatna, s≥odsza wersja klasycznego stouta. W aromacie dominujπ kawowe i czekoladowe nuty. W smaku wyczuwalna goryczka pochodzπca przede wszystkim od palonych s≥odÛw, z≥agodzona przez dodatek laktozy. Dodatek p≥atkÛw owsianych sprawia øe piwo jest g≥adkie i kremowe.	6 g	16 g	Milk Stout	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Mayersztadt\SWEET SIXTEEN 16001520588242.jpg__resize__1600.jpg 
